roi_number,Area,Biovolume,BoundingBox_xwidth,BoundingBox_ywidth,ConvexArea,ConvexPerimeter,Eccentricity,EquivDiameter,Extent,MajorAxisLength,MinorAxisLength,Orientation,Perimeter,RepresentativeWidth,Solidity,SurfaceArea,maxFeretDiameter,minFeretDiameter,numBlobs,summedArea,summedBiovolume,summedConvexArea,summedConvexPerimeter,summedMajorAxisLength,summedMinorAxisLength,summedPerimeter,summedSurfaceArea,Area_over_PerimeterSquared,Area_over_Perimeter,summedConvexPerimeter_over_Perimeter
41,199,1874.8763157236087,19,15,213.9863086261478,50.972617252295656,0.6271962527232551,15.91774699517169,0.6982456140350877,18.271795121796597,14.231193350393005,-3.439764085576485,52.87005768508881,10.473684210526315,0.9299660397790676,798.5952995886768,19.313023323766732,15.0,1,199,1874.8763157236087,213.9863086261478,50.972617252295656,18.271795121796597,14.231193350393005,52.87005768508881,798.5952995886768,0.0711923793483158,3.763945202884182,0.9641112471619584
42,547,6486.341632111726,41,19,573.2086116988606,93.41722339772113,0.8892700775901045,26.390567083147985,0.7021822849807445,39.201419560492916,17.93004233062237,6.802699463681165,97.42640687119285,13.341463414634147,0.9542773587766167,1992.0965001310165,41.592655117169045,19.0,1,547,6486.341632111726,573.2086116988606,93.41722339772113,39.201419560492916,17.93004233062237,97.42640687119285,1992.0965001310165,0.05762805401771004,5.614494237924498,0.9588491087557786
43,150,1254.280866945725,14,15,157.95557219111382,42.91114438222764,0.5573453425230358,13.81976597885342,0.7142857142857143,15.289646355747838,12.694699461021218,-54.130130831967605,44.62741699796952,9.4375,0.949634114955513,631.8658613258683,16.64313926637118,13.435028842544405,1,150,1254.280866945725,157.95557219111382,42.91114438222764,15.289646355747838,12.694699461021218,44.62741699796952,631.8658613258683,0.0753160885218914,3.361162489122433,0.961542192419069
44,162,956.353163630293,24,11,180.85677928620515,52.71355857241036,0.9173418101019091,14.361922094451577,0.6136363636363636,23.02598277990352,9.166655122867152,-11.362068154682959,55.87005768508881,6.666666666666667,0.8957363978246877,584.7998645268418,24.738628804221925,10.308660951028802,1,162,956.353163630293,180.85677928620515,52.71355857241036,23.02598277990352,9.166655122867152,55.87005768508881,584.7998645268418,0.05189873532275824,2.899585336265659,0.9435028485119877
45,305,2580.294766148417,33,14,329.910767258082,72.821534516164,0.90574711348482,19.706294962377495,0.6601731601731602,30.819628184049968,13.061930240847168,5.502324324994049,75.94112549695427,9.242424242424242,0.9244924090683138,1088.8034644180373,33.375887564840696,13.666797749106369,1,305,2580.294766148417,329.910767258082,72.821534516164,30.819628184049968,13.061930240847168,75.94112549695427,1088.8034644180373,0.05288661617335032,4.016269155929648,0.9589209277532318
46,125,979.1297103688187,14,13,143.47270545318537,40.94541090637071,0.4072914179867024,12.6156626101008,0.6868131868131868,13.462607392477027,12.29537582638904,19.64511866018296,43.83452377915607,8.266666666666667,0.8712458554758838,581.3295346068758,15.263979363899178,12.873484893640413,1,125,979.1297103688187,143.47270545318537,40.94541090637071,13.462607392477027,12.29537582638904,43.83452377915607,581.3295346068758,0.06505451262586544,2.8516335806399074,0.9340904697096498
47,187,1268.9416326624773,23,12,223.3763960466082,56.75279209321653,0.9003354371710679,15.430353037616328,0.677536231884058,24.409461902747587,10.622915386613217,-6.278787196123872,61.66295090390226,8.130434782608695,0.8371520147588999,717.6754466550035,24.351472474441543,12.0,1,187,1268.9416326624773,223.3763960466082,56.75279209321653,24.409461902747587,10.622915386613217,61.66295090390226,717.6754466550035,0.04918050660991666,3.032615164516331,0.9203710049761015
48,187,1390.1547492134835,22,11,195.03260192753797,51.06520385507607,0.8537901454809151,15.430353037616328,0.7727272727272727,21.47320932556081,11.17932455879756,-0.0662596243474951,52.62741699796952,8.5,0.9588140554545728,668.0201453483068,22.090594843513717,11.000000000000002,1,187,1390.1547492134835,195.03260192753797,51.06520385507607,21.47320932556081,11.17932455879756,52.62741699796952,668.0201453483068,0.06751767777382013,3.55328098293737,0.9703156029308122
49,137,932.7912187283692,17,12,149.08884171925206,43.17768343850403,0.7541883274393205,13.207339536360731,0.6715686274509803,16.466571625597393,10.812908971974696,19.165837848342363,46.04163056034261,7.444444444444445,0.9189151811775662,546.3340445999683,18.788178473548648,11.58871720599542,1,137,932.7912187283692,149.08884171925206,43.17768343850403,16.466571625597393,10.812908971974696,46.04163056034261,546.3340445999683,0.06462777073955545,2.975567944329132,0.9377965748175434
50,94,641.6702994957153,11,12,110.84477546150099,35.689550923001946,0.44011447503774714,10.940041919714261,0.7121212121212122,11.89253526740261,10.678803019204215,-69.62669514187513,39.59188309203678,7.833333333333333,0.8480327521854959,401.0747957828039,14.142135623730953,11.0,1,94,641.6702994957153,110.84477546150099,35.689550923001946,11.89253526740261,10.678803019204215,39.59188309203678,401.0747957828039,0.05996744379826265,2.3742240241891013,0.9014360554671439
